gene_name,surface_evidence
AC008180.2,0
AC008243.1,0
AC008250.1,0
AC008250.2,0
AC008264.2,0
AC008267.5,0
AC008268.1,0
AC008269.1,0
AC008269.2,0
AC008273.1,0
AC008277.1,0
AC008278.1,0
AC008278.2,0
AC008280.3,0
AC008281.1,0
AC008378.1,0
AC008391.1,0
AC008393.1,0
AC008395.1,0
AC008397.1,0.571
AC008403.2,0
AC008403.3,0
AC008406.1,0
AC008406.2,0
AC008406.3,0
AC008413.2,0
AC008415.1,0
AC008429.1,0
AC008429.3,0
AC008434.1,0
AC008438.1,0
AC008438.2,0
AC008440.1,0
AC008440.2,0
AC008443.1,0
AC008443.2,0
AC008443.3,0
AC008443.4,0
AC008443.5,0
AC008443.6,0
AC008443.8,0
AC008443.9,0
AC008453.1,0
AC008453.2,0
AC008456.1,0
AC008459.1,0
AC008462.1,0
AC008464.1,0
AC008467.1,0
AC008474.1,0
AC008494.2,0
AC008494.3,0
AC008496.2,0
AC008496.3,0
AC008505.1,0
AC008507.2,0
AC008507.4,0
AC008507.5,0
AC008514.1,0
AC008517.1,0
AC008522.1,0
AC008525.1,0
AC008525.2,0
AC008532.1,0
AC008534.1,0
AC008537.2,0
AC008537.4,0
AC008539.1,0
AC008543.1,0
AC008543.3,0
AC008543.4,0
AC008543.5,0
AC008549.1,0
AC008549.2,0
AC008551.1,0
AC008554.1,0
AC008555.1,0
AC008555.2,0
AC008555.4,0
AC008555.5,0
AC008556.1,0
AC008558.1,0
AC008567.2,0
AC008567.3,0
AC008568.1,0
AC008569.1,0
AC008569.2,0
AC008571.2,0
AC008572.1,0
AC008574.1,0
AC008581.1,0
AC008588.1,0
AC008591.1,0
AC008592.1,0
AC008592.2,0
AC008592.4,0
AC008592.5,0
AC008601.1,0
AC008608.2,0
AC008609.1,0
AC008610.1,0
AC008619.1,0
AC008622.2,0
AC008625.1,0
AC008627.1,0
AC008629.1,0
AC008632.1,0
AC008635.1,0
AC008641.1,0
AC008649.1,0
AC008649.2,0
AC008652.1,0
AC008655.1,0
AC008655.2,0
AC008659.1,0
AC008662.1,0
AC008662.2,0
AC008663.1,0
AC008663.2,0
AC008663.3,0
AC008667.1,0
AC008667.2,0
AC008667.3,0
AC008667.4,0
AC008669.1,0
AC008674.1,0
AC008676.1,0
AC008679.1,0
AC008680.1,0
AC008686.1,0
AC008687.2,0
AC008687.3,0
AC008687.4,0
AC008691.1,0
AC008696.2,0
AC008700.1,0
AC008703.1,0
AC008705.2,0
AC008708.1,0
AC008708.2,0
AC008728.1,0
AC008731.1,0
AC008734.1,0
AC008734.2,0
AC008735.1,0
AC008735.2,0
AC008735.3,0
AC008735.4,0
AC008736.1,0
AC008736.2,0
AC008737.1,0
AC008737.3,0
AC008738.1,0
AC008738.2,0
AC008738.3,0
AC008738.4,0
AC008738.5,0
AC008738.6,0
AC008738.7,0
AC008739.1,0
AC008741.1,0
AC008742.1,0
AC008743.1,0
AC008747.1,0
AC008750.1,0
AC008750.2,0
AC008750.3,0
AC008750.4,0
AC008750.5,0
AC008750.7,0
AC008751.3,0
AC008752.1,0
AC008752.2,0
AC008753.2,0
AC008753.3,0
AC008758.2,0
AC008759.2,0
AC008759.3,0
AC008760.1,0
AC008760.2,0
AC008761.1,0
AC008761.2,0
AC008763.1,0
AC008764.2,0
AC008764.3,0
AC008764.5,0
AC008764.6,0
AC008764.7,0
AC008764.8,0
AC008766.1,0
AC008770.3,0
AC008771.1,0
AC008780.1,0
AC008780.2,0
AC008781.1,0
AC008781.2,0
